rank,pozo_id,empresa_grupo,formacion,petroleo_total_m3,gas_total_mm3,boe_acumulado,meses_activo,primer_mes,ultimo_mes
153,164415,YPF,VACA MUERTA,1528.6599999999999,271897.42,1600397830.0,37,2023-06-01,2026-06-01
154,164005,Pluspetrol,VACA MUERTA,60578.829,271732.04,1599795827.0,41,2023-02-01,2026-06-01
155,164053,Tecpetrol,VACA MUERTA,4821.886096,271623.46275,1598806030.0,41,2023-02-01,2026-06-01
156,158039,YPF,VACA MUERTA,0.0,271490.25,1597991611.0,110,2017-05-01,2026-06-01
157,162799,YPF,VACA MUERTA,257.53,271395.22,1597433888.0,56,2021-11-01,2026-06-01
158,159221,YPF,VACA MUERTA,5392.13,270940.08,1594787229.0,99,2018-04-01,2026-06-01
159,164156,Pampa Energía,VACA MUERTA,0.0,270166.595,1590200578.0,38,2023-04-01,2026-05-01
160,163152,Tecpetrol,VACA MUERTA,21732.420203,269456.725097,1586158979.0,52,2022-03-01,2026-06-01
161,159529,Tecpetrol,VACA MUERTA,37147.05377,268960.3384,1583334204.0,96,2018-07-01,2026-06-01
162,158930,Tecpetrol,VACA MUERTA,4300.132993,268871.7586,1582606216.0,102,2018-01-01,2026-06-01
163,162323,Tecpetrol,VACA MUERTA,30919.41136,267446.97773,1574387397.0,62,2021-05-01,2026-06-01
164,163458,Pan American Energy,VACA MUERTA,0.0,266249.5195,1567144668.0,47,2022-07-01,2026-05-01
165,162628,Tecpetrol,VACA MUERTA,47107.04973,265792.9904,1564753847.0,58,2021-09-01,2026-06-01
166,162934,Tecpetrol,VACA MUERTA,6201.488945,265756.9059,1564284157.0,54,2022-01-01,2026-06-01
167,164628,Pampa Energía,VACA MUERTA,0.0,265318.273,1561663355.0,33,2023-09-01,2026-05-01
168,160949,TotalEnergies,VACA MUERTA,0.0,264797.7549,1558599582.0,83,2019-08-01,2026-06-01
169,160191,ExxonMobil,VACA MUERTA,0.43,264474.74713,1556698367.0,73,2019-01-01,2025-01-01
170,163428,YPF,VACA MUERTA,503.42,263819.92,1552847216.0,48,2022-07-01,2026-06-01
171,164054,Tecpetrol,VACA MUERTA,4995.068363,263138.50189,1548864639.0,41,2023-02-01,2026-06-01
172,162407,YPF,VACA MUERTA,381.41,261497.66,1539177625.0,61,2021-06-01,2026-06-01
173,158423,YPF,VACA MUERTA,859.11,261391.73,1538557127.0,106,2017-09-01,2026-06-01
174,159045,TotalEnergies,VACA MUERTA,0.0,260774.5945,1534919265.0,101,2018-02-01,2026-06-01
175,163295,Tecpetrol,VACA MUERTA,6487.028086,260501.287,1533351380.0,49,2022-06-01,2026-06-01
176,162124,Tecpetrol,VACA MUERTA,6248.364595,260128.5025,1531155670.0,66,2021-01-01,2026-06-01
177,163371,Tecpetrol,VACA MUERTA,17165.2036,260083.789,1530961149.0,49,2022-06-01,2026-06-01
178,164006,Pluspetrol,VACA MUERTA,59016.754,259720.25900000002,1529084660.0,41,2023-02-01,2026-06-01
179,160534,TotalEnergies,VACA MUERTA,0.0,259364.4763,1526619311.0,86,2019-05-01,2026-06-01
180,160192,ExxonMobil,VACA MUERTA,1.6,259021.29016,1524599321.0,73,2019-01-01,2025-01-01
181,159351,Tecpetrol,VACA MUERTA,34119.58999,258529.2516,1521917791.0,97,2018-06-01,2026-06-01
182,158928,Tecpetrol,VACA MUERTA,4107.304942,258239.64026,1520024358.0,102,2018-01-01,2026-06-01
183,162182,Pluspetrol,VACA MUERTA,28526.403000000002,258148.711,1519642745.0,64,2021-03-01,2026-06-01
184,161277,Pluspetrol,VACA MUERTA,44410.433,257905.119,1518308872.0,82,2019-09-01,2026-06-01
185,163741,Tecpetrol,VACA MUERTA,26595.49986,256958.6041,1512625627.0,44,2022-11-01,2026-06-01
186,162326,Pluspetrol,VACA MUERTA,26991.856,256751.764,1511410660.0,62,2021-05-01,2026-06-01
187,159353,Tecpetrol,VACA MUERTA,32251.71321,256271.8614,1508619038.0,97,2018-06-01,2026-06-01
